Unnamed: 0,Date,Close,High,Low,Open,Volume,SMA_50,SMA_200,RSI
199,2010-10-19,19983.130859375,20332.01953125,19923.9609375,20298.55078125,12000,19234.5228515625,17751.820869140625,50.53183116328228
200,2010-10-20,19872.150390625,20043.8203125,19822.66015625,19924.01953125,10600,19267.5660546875,17763.38796875,46.08715895334761
201,2010-10-21,20260.580078125,20293.099609375,19886.119140625,19951.33984375,12800,19311.3738671875,17776.25966796875,46.35379144998204
202,2010-10-22,20165.859375,20351.740234375,20088.669921875,20334.140625,13200,19353.213046875,17788.583310546874,44.02598752285619
203,2010-10-25,20303.119140625,20452.30078125,20199.73046875,20199.73046875,12200,19395.93484375,17802.020302734374,48.03600624652044
204,2010-10-26,20221.390625,20344.6796875,20189.30078125,20325.439453125,10200,19439.3470703125,17815.425810546876,43.83522163707888
205,2010-10-27,20005.369140625,20220.580078125,19923.7109375,20220.580078125,12000,19478.4774609375,17827.8191015625,44.03332719226677
206,2010-10-28,19941.0390625,20185.4609375,19869.3203125,20116.490234375,11600,19512.155859375,17840.411748046874,44.04571442325557
207,2010-10-29,20032.33984375,20080.330078125,19768.9609375,19986.3203125,14400,19543.7038671875,17853.024443359376,44.08167622071583
208,2010-11-01,20355.630859375,20609.650390625,20267.099609375,20272.490234375,5400,19582.780078125,17866.878251953123,52.73409694818215
209,2010-11-02,20345.689453125,20418.349609375,20281.73046875,20407.1796875,13200,19621.506875,17880.8351953125,42.5946496108854
210,2010-11-03,20465.740234375,20538.80078125,20426.1796875,20472.859375,10000,19664.5898828125,17894.95849609375,49.28801530943631
211,2010-11-04,20893.5703125,20917.029296875,20605.630859375,20605.630859375,12800,19718.8684765625,17911.996044921874,66.73981185888056
212,2010-11-08,20852.380859375,21075.7109375,20822.369140625,21041.970703125,13800,19771.3891015625,17928.885498046875,64.90492200989667
213,2010-11-09,20932.48046875,20984.080078125,20762.810546875,20851.91015625,11800,19830.0705078125,17948.292197265626,71.70265566383559
214,2010-11-10,20875.7109375,20970.91015625,20849.919921875,20917.5390625,15200,19886.9425390625,17968.372353515624,73.52503532260087
215,2010-11-11,20589.08984375,20937.380859375,20544.220703125,20930.44921875,12600,19939.301953125,17987.415498046874,58.08677524229506
216,2010-11-12,20156.890625,20593.91015625,20108.400390625,20529.740234375,14600,19978.3223828125,18006.750849609376,49.81067664957039
217,2010-11-15,20309.689453125,20335.509765625,20046.599609375,20167.619140625,14200,20019.7499609375,18026.764946289062,50.13779024425409
218,2010-11-16,19865.140625,20380.099609375,19832.220703125,20371.73046875,15200,20052.6241796875,18044.30084960937,43.51563499850689
219,2010-11-18,19930.640625,20056.439453125,19615.509765625,19997.830078125,21800,20080.0359765625,18062.173901367187,48.56095977637915
220,2010-11-19,19585.439453125,19983.890625,19504.869140625,19982.75,16400,20098.8435546875,18079.283896484376,43.82069224863715
221,2010-11-22,19957.58984375,19989.01953125,19641.419921875,19713.83984375,11000,20124.6611328125,18096.591591796878,48.81656951108044
222,2010-11-23,19691.83984375,19841.419921875,19342.689453125,19841.419921875,14200,20142.5047265625,18113.926040039063,39.29593904504662
223,2010-11-24,19459.849609375,19835.5703125,19375.919921875,19735.279296875,12200,20147.5351171875,18132.27063964844,36.669876124338856
224,2010-11-25,19318.16015625,19628.26953125,19257.369140625,19560.25,13800,20146.9591015625,18149.183388671878,32.842940581124466
225,2010-11-26,19136.609375,19417.609375,18954.8203125,19391.9609375,25200,20139.6491015625,18164.65553710937,21.644162233656917
226,2010-11-29,19405.099609375,19450.08984375,19167.189453125,19230.33984375,12400,20139.4012890625,18182.07018554688,28.238724198042505
227,2010-11-30,19521.25,19610.4609375,19218.01953125,19373.23046875,18800,20137.9312890625,18198.913486328125,29.008356565383068
228,2010-12-01,19850.0,19887.259765625,19525.150390625,19529.990234375,15000,20136.809296875,18217.97173828125,35.88493444054065
229,2010-12-02,19992.69921875,20084.25,19917.76953125,20038.66015625,16600,20136.632265625,18236.8018359375,41.45442089143226
230,2010-12-03,19966.9296875,20067.810546875,19877.119140625,20007.890625,13800,20137.1364453125,18254.49193359375,46.919258341378864
231,2010-12-06,19981.310546875,20217.859375,19944.7109375,20038.25,14000,20139.5424609375,18272.759287109377,44.424088943956335
232,2010-12-07,19934.640625,20008.359375,19824.439453125,19982.900390625,13400,20137.3316796875,18291.474340820318,51.36448833221365
233,2010-12-08,19696.48046875,19875.509765625,19611.349609375,19874.30078125,12600,20128.913671875,18308.771494140627,45.694639360957936
234,2010-12-09,19242.359375,19771.08984375,19160.869140625,19746.150390625,17200,20111.663671875,18323.551689453125,43.934918904137206
235,2010-12-10,19508.890625,19537.400390625,19074.5703125,19201.890625,16000,20102.7146875,18339.816293945318,41.76004143400687
236,2010-12-13,19691.779296875,19710.5703125,19321.41015625,19600.279296875,15400,20095.167890625,18357.004189453124,49.99885321016071
237,2010-12-14,19799.189453125,19836.8203125,19621.41015625,19746.75,13400,20082.2508984375,18373.8523828125,56.74561699127359
238,2010-12-15,19647.76953125,19817.609375,19571.4296875,19791.220703125,14000,20065.6916796875,18388.22842773437,56.52693851156717
239,2010-12-16,19864.849609375,19897.220703125,19554.349609375,19698.580078125,15400,20054.834453125,18402.55262695313,64.22054528382051
240,2010-12-20,19888.880859375,20006.16015625,19711.119140625,19770.01953125,11200,20041.75046875,18417.13853515625,60.44404565938959
241,2010-12-21,20060.3203125,20090.83984375,19925.759765625,19925.759765625,14200,20036.65046875,18432.467685546875,61.36630942928775
242,2010-12-22,20015.80078125,20151.25,19931.310546875,20118.8203125,12000,20031.9612890625,18447.03369140625,53.971997162658646
243,2010-12-23,19982.880859375,20076.080078125,19939.30078125,20038.830078125,7600,20024.82109375,18461.685400390623,49.75172832055346
244,2010-12-24,20073.66015625,20086.419921875,19880.359375,19911.4609375,16400,20022.2275,18476.56205078125,52.61293086630378
245,2010-12-27,20028.9296875,20190.130859375,20010.330078125,20062.599609375,9800,20009.0484765625,18490.86689453125,51.14872180493638
246,2010-12-28,20025.419921875,20090.41015625,19981.759765625,20056.470703125,10600,19999.6040625,18505.1608984375,52.23644893540238
247,2010-12-29,20256.029296875,20274.19921875,20054.640625,20060.880859375,10000,20002.2236328125,18520.61609375,63.83658582055312
248,2010-12-30,20389.0703125,20410.91015625,20274.119140625,20274.119140625,10600,20006.6272265625,18535.645546875,83.70874508822253
249,2010-12-31,20509.08984375,20552.029296875,20412.759765625,20412.759765625,12600,20017.14640625,18550.74059570313,82.17319300573473
250,2011-01-03,20561.05078125,20664.80078125,20531.0,20621.609375,12000,20030.9244140625,18565.94955078125,80.53352213244203
251,2011-01-04,20498.720703125,20651.2109375,20449.009765625,20617.380859375,15200,20035.6872265625,18580.552001953125,75.37492773501707
252,2011-01-05,20301.099609375,20509.94921875,20243.94921875,20509.94921875,14400,20038.39203125,18595.0046484375,72.93043100339872
253,2011-01-06,20184.740234375,20425.849609375,20107.169921875,20395.5,16600,20036.024453125,18608.673251953125,62.08163795214673
254,2011-01-07,19691.810546875,20210.619140625,19629.220703125,20163.849609375,15800,20025.4328515625,18619.338056640627,44.50374660365313
255,2011-01-10,19224.119140625,19720.4296875,19158.4296875,19714.419921875,17200,20009.8078515625,18627.234853515623,29.98581684943329
256,2011-01-11,19196.33984375,19431.560546875,19003.599609375,19279.76953125,20000,19994.9138671875,18634.6598046875,30.22804729087811
257,2011-01-12,19534.099609375,19574.630859375,19048.560546875,19353.33984375,19400,19984.9490625,18644.379453125,40.56040411277428
258,2011-01-13,19182.8203125,19522.380859375,19136.26953125,19492.30078125,16800,19961.4928515625,18652.65470703125,33.11281620660189
259,2011-01-14,18860.439453125,19447.8203125,18811.9609375,19198.0390625,15800,19931.7878515625,18658.49380859375,29.95915233559268
260,2011-01-17,18882.25,19018.939453125,18779.380859375,18911.4296875,17800,19900.118046875,18663.22666015625,30.515736133886463
261,2011-01-18,19092.05078125,19120.619140625,18933.470703125,18983.19921875,14400,19864.08765625,18668.98006835937,30.01934508343196
262,2011-01-19,18978.3203125,19167.060546875,18898.560546875,19153.310546875,16200,19826.6064453125,18674.021572265625,25.62168905017253
263,2011-01-20,19046.5390625,19100.259765625,18794.73046875,18892.4296875,12800,19788.8876171875,18680.682265625,24.265838949884724
264,2011-01-21,19007.529296875,19065.33984375,18932.400390625,19007.080078125,11000,19751.523984375,18686.054208984377,22.540021197338945
265,2011-01-24,19151.279296875,19194.4609375,18998.380859375,19095.689453125,11600,19722.7677734375,18692.54560546875,26.849049183144487
266,2011-01-25,18969.44921875,19340.990234375,18949.439453125,19227.419921875,13400,19699.0189453125,18698.283046875,26.995533427761856
267,2011-01-27,18684.4296875,19086.689453125,18656.05078125,19086.689453125,13800,19666.51375,18703.50889648437,25.509054354181828
268,2011-01-28,18395.970703125,18723.119140625,18235.44921875,18708.619140625,18600,19637.1303515625,18707.5328515625,27.333724160643698
269,2011-01-31,18327.759765625,18395.08984375,18038.48046875,18226.2109375,19800,19605.072734375,18712.168251953124,31.77419406081516
270,2011-02-01,18022.220703125,18452.060546875,17982.169921875,18425.1796875,20200,19573.808359375,18714.97645507813,28.54940727540801
271,2011-02-02,18090.619140625,18306.0,18042.609375,18216.91015625,22800,19536.4689453125,18718.06674804688,20.749401580587147
272,2011-02-03,18449.310546875,18466.2109375,18064.609375,18113.73046875,21600,19511.618359375,18722.443349609373,35.1807204194068
273,2011-02-04,18008.150390625,18542.19921875,17926.98046875,18450.0703125,23000,19482.584375,18724.01310546875,33.56956424170406
274,2011-02-07,18037.189453125,18180.939453125,17977.009765625,18135.01953125,13000,19456.9649609375,18725.47265625,33.75419314093385
275,2011-02-08,17775.69921875,18141.509765625,17742.1796875,18141.509765625,14200,19429.7467578125,18725.898056640624,25.1870254413506
276,2011-02-09,17592.76953125,17864.3203125,17508.349609375,17723.990234375,30200,19393.50015625,18726.96150390625,24.54665619927465
277,2011-02-10,17463.0390625,17636.880859375,17362.58984375,17603.2890625,25200,19352.3359375,18726.759345703125,21.55312035974029
278,2011-02-11,17728.609375,17752.560546875,17295.619140625,17519.130859375,25400,19309.908125,18727.608837890624,28.75420093223545
279,2011-02-14,18202.19921875,18227.619140625,17857.119140625,17940.16015625,21800,19274.098125,18731.68943359375,35.790760305397086
280,2011-02-15,18273.80078125,18361.66015625,18050.48046875,18260.080078125,23600,19240.235546875,18737.372734375,39.22954662563775
281,2011-02-16,18300.900390625,18358.83984375,18216.119140625,18273.060546875,18800,19206.62734375,18743.437431640625,43.54655836383677
282,2011-02-17,18506.8203125,18532.609375,18233.7890625,18345.119140625,16600,19178.0709375,18751.03388671875,51.91849659906716
283,2011-02-18,18211.51953125,18690.970703125,18159.8203125,18564.080078125,22000,19148.37171875,18758.2459375,48.13482067138308
284,2011-02-21,18438.310546875,18457.490234375,18082.66015625,18238.5390625,19200,19132.2907421875,18763.784736328125,56.849638352161655
285,2011-02-22,18296.16015625,18457.900390625,18187.330078125,18390.720703125,19800,19108.0361328125,18769.557890625,53.30338729270842
286,2011-02-23,18178.330078125,18377.48046875,18150.009765625,18233.76953125,22200,19077.7671484375,18774.47048828125,45.2794200105611
287,2011-02-24,17632.41015625,18135.119140625,17559.69921875,18135.119140625,23000,19034.4315625,18776.30319335937,43.68495930555856
288,2011-02-25,17700.91015625,17812.439453125,17469.970703125,17775.080078125,21800,18995.494375,18779.83474609375,44.42216297294584
289,2011-02-28,17823.400390625,18296.529296875,17718.880859375,17811.080078125,30000,18954.665390625,18784.7739453125,50.829463319605736
290,2011-03-01,18446.5,18478.6796875,17964.390625,17982.279296875,24800,18925.8177734375,18792.627646484376,62.87447336921177
291,2011-03-03,18489.759765625,18603.5703125,18253.619140625,18318.3203125,28600,18894.4065625,18803.033994140624,65.89782563595114
292,2011-03-04,18486.44921875,18736.970703125,18448.689453125,18622.69921875,19800,18863.81953125,18812.86784179688,62.77173519486727
293,2011-03-07,18222.669921875,18363.44921875,18058.7109375,18361.650390625,15200,18828.6153125,18821.75314453125,50.37124250236077
294,2011-03-08,18439.650390625,18466.810546875,18266.619140625,18277.33984375,13800,18795.9351171875,18831.603642578124,52.85708037105202
295,2011-03-09,18469.94921875,18583.30078125,18303.80078125,18522.80078125,22600,18764.7555078125,18843.840986328127,52.90898665912025
296,2011-03-10,18327.98046875,18430.83984375,18261.259765625,18430.83984375,18600,18730.80671875,18853.541689453126,46.85327229988865
297,2011-03-11,18174.08984375,18368.4296875,18063.2890625,18248.109375,20600,18689.1679296875,18861.08013671875,49.30692682588109
298,2011-03-14,18439.48046875,18463.83984375,18155.4296875,18167.099609375,15400,18650.1761328125,18868.962236328123,50.02135775414837
299,2011-03-15,18167.640625,18326.330078125,17920.55078125,18113.7890625,22400,18603.3471484375,18875.07728515625,47.7598587051696
300,2011-03-16,18358.689453125,18444.470703125,18263.6796875,18263.6796875,16200,18559.299921875,18884.0105859375,53.065483106381
301,2011-03-17,18149.869140625,18354.26953125,18104.01953125,18227.16015625,18200,18512.322890625,18891.050732421874,59.933263097117184
302,2011-03-18,17878.810546875,18259.609375,17849.529296875,18251.1796875,16400,18463.877109375,18895.333134765624,53.168603741029216
303,2011-03-21,17839.05078125,18007.73046875,17792.169921875,17984.720703125,12400,18416.9633203125,18898.93994140625,50.28721521319448
304,2011-03-22,17988.30078125,18041.380859375,17878.80078125,17929.08984375,11800,18382.893125,18904.97609375,39.820764082698105
305,2011-03-23,18206.16015625,18218.279296875,17950.169921875,17972.0390625,13400,18362.5339453125,18912.921396484377,44.15320226361426
306,2011-03-24,18350.740234375,18373.970703125,18269.3203125,18286.419921875,11200,18345.621953125,18921.38564453125,47.35617296305118
307,2011-03-25,18815.640625,18858.30078125,18480.689453125,18480.689453125,15200,18331.2527734375,18930.853447265625,60.71254415028564
308,2011-03-28,18943.140625,19024.1796875,18799.5703125,18799.7109375,12800,18326.4591796875,18940.244404296875,59.39990709010437
309,2011-03-29,19120.80078125,19226.2109375,18944.8203125,18949.5703125,17200,18331.66640625,18949.15755859375,61.51734673422411
310,2011-03-30,19290.1796875,19357.099609375,19178.76953125,19178.76953125,12200,18339.825,18958.544306640622,66.86330700812758
311,2011-03-31,19445.220703125,19575.16015625,19284.349609375,19339.75,16200,18346.8883984375,18968.456064453127,72.26860047916469
312,2011-04-01,19420.390625,19562.55078125,19382.349609375,19463.109375,12400,18355.7298046875,18977.4745703125,68.76602053917195
313,2011-04-04,19701.73046875,19729.599609375,19449.359375,19473.9296875,10600,18368.8336328125,18988.12912109375,79.24273449541694
314,2011-04-05,19686.8203125,19770.2109375,19523.5390625,19731.380859375,12600,18382.419453125,18997.18046875,77.13917626577756
315,2011-04-06,19612.19921875,19811.140625,19550.55078125,19698.609375,14400,18391.6378515625,19006.493017578126,81.61535752560812
316,2011-04-07,19591.1796875,19665.08984375,19537.01953125,19620.880859375,9600,18404.0724609375,19015.66921875,91.50895247221555
317,2011-04-08,19451.44921875,19697.2109375,19388.419921875,19602.810546875,10400,18419.4128515625,19024.27526367188,87.2788012231974
318,2011-04-11,19262.5390625,19426.30078125,19242.58984375,19382.91015625,9400,18436.74421875,19032.7153125,78.92996253884466
319,2011-04-13,19696.859375,19737.330078125,19101.630859375,19187.009765625,17800,18464.1262109375,19042.32831054688,80.81558725964877
320,2011-04-15,19386.8203125,19700.9609375,19337.119140625,19670.0703125,17000,18491.418203125,19051.591962890627,70.04642845536013
321,2011-04-18,19091.169921875,19649.220703125,19071.470703125,19389.740234375,13800,18511.42921875,19058.54331054688,55.70465564860832
322,2011-04-19,19121.830078125,19201.919921875,18976.189453125,19091.779296875,11400,18524.879609375,19066.60581054688,53.8542034404692
323,2011-04-20,19470.98046875,19484.76953125,19171.029296875,19274.2109375,15400,18554.1362109375,19076.65596679688,57.03284599380549
324,2011-04-21,19602.23046875,19695.98046875,19530.5,19582.5,15200,18585.43703125,19087.459921875,56.3645576558733
325,2011-04-25,19584.310546875,19697.490234375,19531.33984375,19538.51953125,11400,18621.6092578125,19097.309072265623,53.00494198901556
326,2011-04-26,19545.349609375,19626.130859375,19306.919921875,19596.3203125,11600,18660.660859375,19107.680673828127,52.68327094078678
327,2011-04-27,19448.689453125,19633.630859375,19412.7890625,19610.7109375,13400,18700.3738671875,19116.66546875,44.09831390809446
328,2011-04-28,19292.01953125,19542.05078125,19265.919921875,19532.849609375,14000,18731.6420703125,19123.95787109375,41.36315936995816
329,2011-04-29,19135.9609375,19356.5,19015.05078125,19292.5703125,10600,18750.3173046875,19129.9516796875,39.94004475602028
330,2011-05-02,18998.01953125,19253.869140625,18954.759765625,19224.05078125,9400,18764.8016796875,19135.012275390625,38.06000780016481
331,2011-05-03,18534.689453125,19024.94921875,18502.419921875,18979.310546875,13400,18769.4774609375,19137.994921875,33.67314781512552
332,2011-05-04,18469.359375,18604.359375,18339.529296875,18558.330078125,13000,18768.7282421875,19140.7944140625,35.22360276470735
333,2011-05-05,18210.580078125,18569.2109375,18160.650390625,18484.7109375,14800,18768.709453125,19142.068212890623,20.37396217864816
334,2011-05-06,18518.810546875,18568.48046875,18271.6796875,18289.779296875,30200,18770.319453125,19145.020166015624,32.685458264342074
335,2011-05-09,18528.9609375,18643.580078125,18367.2109375,18628.630859375,9200,18774.97546875,19148.274267578126,37.34385978179721
336,2011-05-10,18512.76953125,18689.369140625,18429.060546875,18564.94921875,13200,18781.6642578125,19150.951962890624,36.19926163334634
337,2011-05-11,18584.9609375,18622.439453125,18454.9296875,18572.609375,10000,18800.7152734375,19153.311015625,27.042130066357075
338,2011-05-12,18335.7890625,18610.01953125,18314.33984375,18525.3203125,10200,18813.4128515625,19154.33505859375,19.074767924117964
339,2011-05-13,18531.279296875,18724.5390625,18280.69921875,18362.44921875,12600,18827.5704296875,19156.891201171875,26.33803805912505
340,2011-05-16,18345.029296875,18492.6796875,18319.880859375,18492.6796875,9400,18825.541015625,19158.22830078125,24.70288764559245
341,2011-05-17,18137.349609375,18435.80078125,18084.669921875,18374.44921875,14200,18818.4928125,19159.128203125,23.59858249956352
342,2011-05-18,18086.19921875,18218.19921875,18020.7890625,18177.3203125,12400,18810.4878125,19159.59919921875,24.6457518143618
343,2011-05-19,18141.400390625,18198.44921875,18057.8203125,18166.640625,13400,18808.862421875,19160.96475585937,28.161568752578543
344,2011-05-20,18326.08984375,18429.470703125,18161.380859375,18199.9609375,17000,18806.5912109375,19162.189150390623,35.54266080799863
345,2011-05-23,17993.330078125,18269.060546875,17971.01953125,18269.060546875,10400,18797.058828125,19161.581650390624,37.65859983329653
346,2011-05-24,18011.970703125,18110.390625,17933.939453125,18016.4296875,12600,18790.7386328125,19160.554306640624,39.34608801989359
347,2011-05-25,17847.240234375,17976.359375,17786.130859375,17976.359375,10200,18784.201640625,19158.926357421875,41.14896459585838
348,2011-05-26,18044.640625,18072.609375,17862.880859375,17917.109375,12600,18776.30484375,19158.429609375,37.78980816758856
349,2011-05-27,18266.099609375,18298.640625,18087.16015625,18105.609375,12800,18778.2740234375,19158.32260742188,43.895480428434446
350,2011-05-30,18232.060546875,18380.169921875,18199.51953125,18319.740234375,11600,18775.7414453125,19158.382958984374,43.53459405817664
351,2011-05-31,18503.279296875,18526.80078125,18266.609375,18266.609375,14600,18782.8096484375,19160.548408203125,48.27667200437786
352,2011-06-01,18608.810546875,18636.119140625,18514.66015625,18527.119140625,12600,18797.4096484375,19163.222958984374,56.13189628323398
353,2011-06-02,18494.1796875,18540.669921875,18390.5703125,18425.849609375,15400,18810.5122265625,19164.8587109375,49.13536076326774
354,2011-06-03,18376.48046875,18672.650390625,18345.849609375,18554.400390625,14400,18818.2758203125,19166.487216796875,50.75719174636075
355,2011-06-06,18420.109375,18458.630859375,18258.419921875,18344.26953125,8800,18822.5548046875,19168.343515625,57.39133276084069
356,2011-06-07,18495.619140625,18545.94921875,18351.240234375,18355.30078125,10000,18825.4523828125,19169.536015625,60.567646184016176
357,2011-06-08,18394.2890625,18505.099609375,18365.939453125,18448.400390625,10800,18817.0253515625,19169.23276367188,56.37555604357944
358,2011-06-09,18384.900390625,18449.640625,18327.009765625,18394.5703125,10000,18805.860546875,19169.1481640625,51.62642773574857
359,2011-06-10,18268.5390625,18399.01953125,18182.900390625,18390.41015625,9600,18788.8153125,19168.444111328125,58.6458424092784
360,2011-06-13,18266.029296875,18313.2109375,18120.759765625,18242.25,10400,18768.3323046875,19168.21630859375,58.06311242908716
361,2011-06-14,18308.66015625,18380.189453125,18261.109375,18276.779296875,26800,18745.60109375,19168.86140625,65.87448881817045
362,2011-06-15,18132.240234375,18308.689453125,18111.2109375,18298.58984375,9600,18719.8380859375,19168.390859375,53.05788234267427
363,2011-06-16,17985.880859375,18155.099609375,17958.939453125,18060.109375,10600,18685.52109375,19168.328212890625,39.67702571246021
364,2011-06-17,17870.529296875,18064.759765625,17844.08984375,18060.169921875,10800,18649.1952734375,19167.5203125,37.43435594150008
365,2011-06-20,17506.630859375,17925.169921875,17314.380859375,17925.169921875,12800,18607.08390625,19165.19787109375,17.45637755102041
366,2011-06-21,17560.30078125,17714.880859375,17504.26953125,17574.369140625,11400,18566.466328125,19161.970029296877,14.562735082454624
367,2011-06-22,17550.630859375,17678.859375,17492.189453125,17659.369140625,9600,18528.4499609375,19158.531630859376,15.67484762834532
368,2011-06-23,17727.490234375,17754.55078125,17482.2109375,17526.919921875,11400,18497.748984375,19156.06193359375,27.364825741794576
369,2011-06-24,18240.6796875,18268.94921875,17804.939453125,17804.939453125,14800,18468.625390625,19154.465078125,45.28597759469301
370,2011-06-27,18412.41015625,18494.109375,18132.69921875,18132.69921875,13400,18449.1371875,19153.301826171875,47.91911901898744
371,2011-06-28,18492.44921875,18527.44921875,18323.439453125,18493.58984375,11400,18437.1627734375,19152.430517578126,52.48120018641833
372,2011-06-29,18693.859375,18715.390625,18552.189453125,18552.189453125,13800,18428.603359375,19151.901513671877,57.11854384564361
373,2011-06-30,18845.869140625,18873.390625,18723.140625,18741.099609375,11400,18416.1011328125,19150.089208984376,63.086945241613925
374,2011-07-01,18762.80078125,19031.380859375,18713.0703125,18974.9609375,14000,18399.3125390625,19147.168408203124,60.86406074207087
